accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,lap,special tag,,,,,
-0.580566406,0.591796875,0.545898438,0.732421875,-3.700256348,1.777648926,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:26 GMT-0500 (EST)
-0.587890625,0.586914063,0.537109375,0.335693359,-3.09753418,1.594543457,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:26 GMT-0500 (EST)
-0.594726563,0.583007813,0.534667969,0.221252441,-2.174377441,1.678466797,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:26 GMT-0500 (EST)
-0.596191406,0.588378906,0.532714844,-0.045776367,-1.441955566,1.770019531,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:26 GMT-0500 (EST)
-0.591796875,0.586425781,0.528808594,-0.030517578,-0.885009766,1.533508301,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:26 GMT-0500 (EST)
-0.591308594,0.595214844,0.530273438,-0.022888184,-1.037597656,1.426696777,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.581542969,0.593261719,0.53125,0.106811523,-1.388549805,1.54876709,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.588378906,0.592773438,0.524414063,0.343322754,-1.625061035,1.365661621,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.595214844,0.591308594,0.529296875,0.617980957,-2.403259277,1.281738281,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.59375,0.596191406,0.525390625,0.663757324,-3.173828125,1.426696777,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.595214844,0.594238281,0.530761719,0.984191895,-3.349304199,1.70135498,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.597167969,0.592773438,0.536132813,1.022338867,-3.723144531,2.235412598,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.610839844,0.594726563,0.534179688,0.801086426,-4.577636719,2.708435059,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.608886719,0.606445313,0.529296875,0.747680664,-4.623413086,3.326416016,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.621582031,0.614746094,0.520996094,0.480651855,-4.96673584,4.005432129,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.631835938,0.630371094,0.508789063,0.671386719,-4.951477051,4.768371582,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.638671875,0.635253906,0.495605469,1.266479492,-4.890441895,5.722045898,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.633300781,0.634277344,0.491210938,1.960754395,-4.974365234,6.874084473,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.633300781,0.630371094,0.48046875,2.655029297,-4.14276123,7.98034668,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.626953125,0.645507813,0.484375,3.326416016,-5.462646484,10.05554199,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.62109375,0.66015625,0.490722656,4.219055176,-6.958007813,12.1307373,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.614257813,0.669433594,0.501953125,5.592346191,-10.06317139,14.46533203,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.61328125,0.662109375,0.51953125,6.401062012,-13.64898682,16.93725586,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.616699219,0.6484375,0.534179688,7.369995117,-16.55578613,19.69909668,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.621582031,0.640136719,0.541503906,7.774353027,-19.83642578,22.67456055,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.62890625,0.633300781,0.538085938,7.766723633,-22.19390869,25.32196045,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.654785156,0.630859375,0.53515625,7.56072998,-22.51434326,27.05383301,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.670410156,0.629394531,0.542480469,7.331848145,-22.65167236,28.71704102,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.66015625,0.631835938,0.537597656,7.522583008,-20.90454102,30.15899658,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.655273438,0.63671875,0.543945313,7.713317871,-18.24188232,30.96008301,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.640136719,0.632324219,0.551269531,8.224487305,-15.0604248,31.41021729,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.619140625,0.624023438,0.554199219,9.02557373,-12.68005371,32.30285645,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.595214844,0.62109375,0.548339844,9.506225586,-11.36779785,33.05053711,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.582519531,0.622558594,0.559082031,9.788513184,-9.941101074,33.12683105,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.580078125,0.634277344,0.56640625,10.00213623,-9.376525879,33.74481201,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.585449219,0.634277344,0.564941406,10.53619385,-8.7890625,33.47015381,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.57421875,0.640625,0.565917969,10.48278809,-8.460998535,33.82873535,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.571289063,0.650390625,0.561035156,10.27679443,-7.904052734,34.28649902,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.565917969,0.66015625,0.55078125,9.93347168,-9.399414063,35.40039063,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.561523438,0.661132813,0.549316406,9.994506836,-9.780883789,36.23199463,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.540527344,0.655761719,0.545410156,10.27679443,-11.84082031,37.71972656,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.521484375,0.653320313,0.529296875,10.0402832,-14.73236084,39.46685791,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.545898438,0.652832031,0.520019531,10.07080078,-17.28057861,40.61889648,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.546875,0.646972656,0.518554688,9.742736816,-20.39337158,41.83197021,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.532714844,0.660644531,0.516601563,8.773803711,-22.27783203,41.94641113,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.564941406,0.661132813,0.501953125,8.460998535,-25.26092529,41.39709473,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.575195313,0.659179688,0.489257813,8.598327637,-23.07128906,44.26574707,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.559570313,0.669921875,0.508300781,7.57598877,-22.77374268,44.84558105,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.517089844,0.672851563,0.50390625,7.102966309,-27.11486816,46.76055908,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.48828125,0.659179688,0.5,8.949279785,-30.87615967,48.11096191,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.489746094,0.651367188,0.4921875,9.437561035,-34.75952148,50.03356934,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
-0.481445313,0.642089844,0.482910156,9.658813477,-40.55023193,51.27716064,0,0,0,1.38402E+12,1,none,Sat Nov 09 2013 12:55:27 GMT-0500 (EST)
