,accel-x,accel-y,accel-z,gyro-x,gyro-y,gyro-z,lap,special tag,,,,,
35,-0.25,0.65234375,0.676757813,-1.21307373,2.197265625,31.88323975,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.276855469,0.659179688,0.655761719,-1.121520996,-1.029968262,31.55517578,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.297851563,0.640625,0.654296875,-1.312255859,3.059387207,29.10614014,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.302734375,0.641113281,0.662109375,-3.021240234,8.918762207,28.25164795,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.282226563,0.639160156,0.670898438,-4.165649414,17.57049561,26.26037598,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.257324219,0.646484375,0.680664063,-4.829406738,26.55792236,24.02496338,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.202148438,0.679199219,0.680664063,-5.065917969,32.16552734,21.54541016,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.177734375,0.654296875,0.678710938,-3.66973877,34.13391113,18.2800293,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.184082031,0.655761719,0.677734375,-3.883361816,33.40148926,17.48657227,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.145996094,0.666992188,0.667480469,-4.013061523,32.27233887,15.58685303,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.109863281,0.668945313,0.663085938,-3.01361084,27.77862549,13.08441162,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.098632813,0.664550781,0.657714844,-2.418518066,19.41680908,11.34490967,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.111816406,0.676269531,0.674804688,-1.46484375,10.52093506,10.11657715,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
35,-0.175292969,0.684570313,0.626464844,0.74005127,9.727478027,8.605957031,0,0,0,1.38403E+12,1,none,Sat Nov 09 2013 15:05:46 GMT-0500 (EST)
